[2026-08-05T07:56:22.922Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, -743B)
[2026-08-05T07:56:22.923Z] GET http://localhost:5173/src/main.tsx?t=1785915814806 → 200 (2ms, ?B)
[2026-08-05T07:56:22.924Z] GET http://localhost:5173/@react-refresh → 200 (6ms, ?B)
[2026-08-05T07:56:22.926Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=ac879b7e → 200 (?ms, -310B)
[2026-08-05T07:56:22.926Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=ac879b7e → 200 (?ms, -306B)
[2026-08-05T07:56:22.926Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1688b297 → 200 (?ms, -308B)
[2026-08-05T07:56:22.926Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=dab0c3d9 → 200 (?ms, -312B)
[2026-08-05T07:56:22.926Z] GET http://localhost:5173/src/App.tsx?t=1785915814806 → 200 (7ms, ?B)
[2026-08-05T07:56:22.927Z] GET http://localhost:5173/src/index.css?t=1785915814806 → 200 (5ms, ?B)
[2026-08-05T07:56:22.927Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PZHMDCWN.js?v=3cf7fa7e → 200 (?ms, -311B)
[2026-08-05T07:56:22.929Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=3cf7fa7e → 200 (?ms, -308B)
[2026-08-05T07:56:22.929Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-WNHV52DQ.js?v=3cf7fa7e → 200 (?ms, -312B)
[2026-08-05T07:56:22.930Z] GET http://localhost:5173/@fs/C:/Users/hvipa/Downloads/New%20NOVA/starone/n0va/node_modules/vite/dist/client/env.mjs → 200 (2ms, ?B)
[2026-08-05T07:56:22.933Z] GET http://localhost:5173/src/components/Toast.tsx → 200 (2ms, ?B)
[2026-08-05T07:56:22.933Z] GET http://localhost:5173/src/components/Layout.tsx?t=1785915248872 → 200 (5ms, ?B)
[2026-08-05T07:56:22.937Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=37a1c64f → 200 (?ms, -314B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/components/Sidebar.tsx?t=1785915248872 → 200 (4ms, ?B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/components/CommandPalette.tsx?t=1785915248872 → 200 (5ms, ?B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/components/QuickActions.tsx → 200 (4ms, ?B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/components/AIAssistant.tsx?t=1785915248872 → 200 (5ms, ?B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/components/HelpDialog.tsx?t=1785915248872 → 200 (5ms, ?B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/components/MobileNav.tsx → 200 (5ms, ?B)
[2026-08-05T07:56:22.938Z] GET http://localhost:5173/src/hooks/useSocket.ts?t=1785861328377 → 200 (5ms, ?B)
[2026-08-05T07:56:22.938Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (1ms, -815B)
[2026-08-05T07:56:22.943Z] GET http://localhost:5173/src/api/client.ts?t=1785915248872 → 200 (13ms, ?B)
[2026-08-05T07:56:22.945Z] GET http://localhost:5173/node_modules/.vite/deps/socket__io-client.js?v=4a9651df → 200 (?ms, -312B)
[2026-08-05T07:56:22.983Z] GET http://localhost:5173/src/pages/Login.tsx?t=1785915248872 → 200 (7ms, ?B)
[2026-08-05T07:56:38.129Z] GET http://localhost:5173/n0va1o/observe → 200 (6ms, ?B)
[2026-08-05T07:56:38.140Z] GET http://localhost:5173/@vite/client → 304 (2ms, ?B)
[2026-08-05T07:56:38.140Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-08-05T07:56:38.142Z] GET http://localhost:5173/src/main.tsx?t=1785915814806 → 304 (?ms, ?B)
[2026-08-05T07:56:38.142Z] GET http://localhost:5173/@react-refresh → 304 (5ms, ?B)
[2026-08-05T07:56:38.142Z] GET http://localhost:5173/@fs/C:/Users/hvipa/Downloads/New%20NOVA/starone/n0va/node_modules/vite/dist/client/env.mjs → 304 (6ms, ?B)
[2026-08-05T07:56:38.143Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=ac879b7e → 200 (?ms, -310B)
[2026-08-05T07:56:38.143Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=ac879b7e → 200 (?ms, -306B)
[2026-08-05T07:56:38.143Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1688b297 → 200 (?ms, -308B)
[2026-08-05T07:56:38.143Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=dab0c3d9 → 200 (?ms, -312B)
[2026-08-05T07:56:38.144Z] GET http://localhost:5173/src/App.tsx?t=1785915814806 → 304 (5ms, ?B)
[2026-08-05T07:56:38.146Z] GET http://localhost:5173/src/index.css?t=1785915814806 → 304 (3ms, ?B)
[2026-08-05T07:56:38.146Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PZHMDCWN.js?v=3cf7fa7e → 200 (?ms, -311B)
[2026-08-05T07:56:38.146Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=3cf7fa7e → 200 (?ms, -308B)
[2026-08-05T07:56:38.146Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-WNHV52DQ.js?v=3cf7fa7e → 200 (?ms, -312B)
[2026-08-05T07:56:38.149Z] GET http://localhost:5173/src/components/Toast.tsx → 304 (1ms, ?B)
[2026-08-05T07:56:38.149Z] GET http://localhost:5173/src/components/Layout.tsx?t=1785915248872 → 304 (2ms, ?B)
[2026-08-05T07:56:38.150Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=37a1c64f → 200 (?ms, -314B)
[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/components/Sidebar.tsx?t=1785915248872 → 304 (2ms, ?B)
[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/components/CommandPalette.tsx?t=1785915248872 → 304 (2ms, ?B)
[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/components/QuickActions.tsx → 304 (3ms, ?B)
[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/components/AIAssistant.tsx?t=1785915248872 → 304 (3ms, ?B)
